"as.factor(labelname)" "as.factor(subjectid)" "baxsd"
"LAYING" "1" 0.0247932385018487
"LAYING" "2" 0.0098467393932228
"LAYING" "3" 0.00701450518248103
"LAYING" "4" 0.016301167906698
"LAYING" "5" 0.0124865593790527
"LAYING" "6" 0.0228461115012518
"LAYING" "7" 0.0220454898596224
"LAYING" "8" 0.0199246533838069
"LAYING" "9" 0.0201547253092997
"LAYING" "10" 0.0117233056356992
"LAYING" "11" 0.00636447575712924
"LAYING" "12" 0.0159356714558689
"LAYING" "13" 0.011525666259784
"LAYING" "14" 0.0282224510152907
"LAYING" "15" 0.0104328352864281
"LAYING" "16" 0.00996631497940011
"LAYING" "17" 0.0102037737069237
"LAYING" "18" 0.0064455973353124
"LAYING" "19" 0.0127838225302615
"LAYING" "20" 0.0136839543658914
"LAYING" "21" 0.0160327568171448
"LAYING" "22" 0.0183995480329846
"LAYING" "23" 0.0154685643145548
"LAYING" "24" 0.0118206676066413
"LAYING" "25" 0.0309468947070471
"LAYING" "26" 0.0113458468322338
"LAYING" "27" 0.00841856814274838
"LAYING" "28" 0.0115268664369735
"LAYING" "29" 0.00654569802367715
"LAYING" "30" 0.00909847172368132
"SITTING" "1" 0.0088169456999404
"SITTING" "2" 0.00570006599370221
"SITTING" "3" 0.0108374794691943
"SITTING" "4" 0.00781594562106075
"SITTING" "5" 0.00760960277535887
"SITTING" "6" 0.00786305550790667
"SITTING" "7" 0.0102987086563943
"SITTING" "8" 0.00823304886680775
"SITTING" "9" 0.015315395849173
"SITTING" "10" 0.00697383196155808
"SITTING" "11" 0.00700803232437759
"SITTING" "12" 0.00708203878363165
"SITTING" "13" 0.00481503224132374
"SITTING" "14" 0.00911805287849417
"SITTING" "15" 0.00561491628221451
"SITTING" "16" 0.00569898507112585
"SITTING" "17" 0.00322377873190125
"SITTING" "18" 0.00325494241837402
"SITTING" "19" 0.00910004842087009
"SITTING" "20" 0.0069153385745395
"SITTING" "21" 0.00409017018353994
"SITTING" "22" 0.00841477627413952
"SITTING" "23" 0.00544490083444055
"SITTING" "24" 0.0044746992169031
"SITTING" "25" 0.00405263053321154
"SITTING" "26" 0.00799169936040557
"SITTING" "27" 0.00512894254453977
"SITTING" "28" 0.00685329936968112
"SITTING" "29" 0.00442555668297803
"SITTING" "30" 0.0067396035766143
"STANDING" "1" 0.00279620777116816
"STANDING" "2" 0.00555398629324167
"STANDING" "3" 0.0122240271263694
"STANDING" "4" 0.00891715495301658
"STANDING" "5" 0.0116231932223628
"STANDING" "6" 0.00734541220500848
"STANDING" "7" 0.00814161540249061
"STANDING" "8" 0.00505248957993052
"STANDING" "9" 0.00930032160819328
"STANDING" "10" 0.00843535650100979
"STANDING" "11" 0.00304996405980735
"STANDING" "12" 0.00751246647910759
"STANDING" "13" 0.00433596809476904
"STANDING" "14" 0.0101035941969312
"STANDING" "15" 0.00500900804822589
"STANDING" "16" 0.00496756218444805
"STANDING" "17" 0.00428945504937909
"STANDING" "18" 0.00401138919645479
"STANDING" "19" 0.00469653305443537
"STANDING" "20" 0.0120721614670482
"STANDING" "21" 0.00745529406007664
"STANDING" "22" 0.00629195819226363
"STANDING" "23" 0.00615517640472048
"STANDING" "24" 0.00555919068002549
"STANDING" "25" 0.0040275162072336
"STANDING" "26" 0.00367036942726512
"STANDING" "27" 0.00403354072269024
"STANDING" "28" 0.00864811646135582
"STANDING" "29" 0.00269589941460357
"STANDING" "30" 0.00870959178073545
"WALKING" "1" 0.234133338780874
"WALKING" "2" 0.188678607759782
"WALKING" "3" 0.209240438011909
"WALKING" "4" 0.183094461715684
"WALKING" "5" 0.230767906881349
"WALKING" "6" 0.229975084719683
"WALKING" "7" 0.219999100901014
"WALKING" "8" 0.269916346236376
"WALKING" "9" 0.248879600089854
"WALKING" "10" 0.268258044354336
"WALKING" "11" 0.188938778424141
"WALKING" "12" 0.284441839821761
"WALKING" "13" 0.213586445936151
"WALKING" "14" 0.195502781494002
"WALKING" "15" 0.219765638313079
"WALKING" "16" 0.194835617012663
"WALKING" "17" 0.222514844832932
"WALKING" "18" 0.20415610240115
"WALKING" "19" 0.310431976578504
"WALKING" "20" 0.258630182334024
"WALKING" "21" 0.229560468795806
"WALKING" "22" 0.323507921504673
"WALKING" "23" 0.224457244210728
"WALKING" "24" 0.173369344453918
"WALKING" "25" 0.132676876214567
"WALKING" "26" 0.215794116497439
"WALKING" "27" 0.213100661907851
"WALKING" "28" 0.231123679433876
"WALKING" "29" 0.269678452018307
"WALKING" "30" 0.21377687740787
"WALKING_DOWNSTAIRS" "1" 0.336079889792081
"WALKING_DOWNSTAIRS" "2" 0.341385987338924
"WALKING_DOWNSTAIRS" "3" 0.307668643333323
"WALKING_DOWNSTAIRS" "4" 0.329958141194942
"WALKING_DOWNSTAIRS" "5" 0.415684561073082
"WALKING_DOWNSTAIRS" "6" 0.450980540849663
"WALKING_DOWNSTAIRS" "7" 0.347791404948708
"WALKING_DOWNSTAIRS" "8" 0.334164265482115
"WALKING_DOWNSTAIRS" "9" 0.395653057615121
"WALKING_DOWNSTAIRS" "10" 0.42240596564843
"WALKING_DOWNSTAIRS" "11" 0.3726058506217
"WALKING_DOWNSTAIRS" "12" 0.340099960560642
"WALKING_DOWNSTAIRS" "13" 0.304177138465913
"WALKING_DOWNSTAIRS" "14" 0.332114777973171
"WALKING_DOWNSTAIRS" "15" 0.458384884357869
"WALKING_DOWNSTAIRS" "16" 0.393658066851541
"WALKING_DOWNSTAIRS" "17" 0.387311989917762
"WALKING_DOWNSTAIRS" "18" 0.227994526860786
"WALKING_DOWNSTAIRS" "19" 0.53000840004151
"WALKING_DOWNSTAIRS" "20" 0.35052978856815
"WALKING_DOWNSTAIRS" "21" 0.399211140553943
"WALKING_DOWNSTAIRS" "22" 0.439588322920621
"WALKING_DOWNSTAIRS" "23" 0.340662300997561
"WALKING_DOWNSTAIRS" "24" 0.299441316636735
"WALKING_DOWNSTAIRS" "25" 0.243875002752261
"WALKING_DOWNSTAIRS" "26" 0.382839406998407
"WALKING_DOWNSTAIRS" "27" 0.380712489876081
"WALKING_DOWNSTAIRS" "28" 0.367165786787299
"WALKING_DOWNSTAIRS" "29" 0.380704716245152
"WALKING_DOWNSTAIRS" "30" 0.307551592370185
"WALKING_UPSTAIRS" "1" 0.211075716737085
"WALKING_UPSTAIRS" "2" 0.227428597731043
"WALKING_UPSTAIRS" "3" 0.224586664007498
"WALKING_UPSTAIRS" "4" 0.259738018657437
"WALKING_UPSTAIRS" "5" 0.311465544250243
"WALKING_UPSTAIRS" "6" 0.31003232073523
"WALKING_UPSTAIRS" "7" 0.230516288624625
"WALKING_UPSTAIRS" "8" 0.270531569571221
"WALKING_UPSTAIRS" "9" 0.20888705793655
"WALKING_UPSTAIRS" "10" 0.273819666354605
"WALKING_UPSTAIRS" "11" 0.248733591016066
"WALKING_UPSTAIRS" "12" 0.232051059135554
"WALKING_UPSTAIRS" "13" 0.230057649175149
"WALKING_UPSTAIRS" "14" 0.225797484826375
"WALKING_UPSTAIRS" "15" 0.317842280012847
"WALKING_UPSTAIRS" "16" 0.197307701508015
"WALKING_UPSTAIRS" "17" 0.305867803387387
"WALKING_UPSTAIRS" "18" 0.202803609230735
"WALKING_UPSTAIRS" "19" 0.2844926672915
"WALKING_UPSTAIRS" "20" 0.288603796033434
"WALKING_UPSTAIRS" "21" 0.248082055665304
"WALKING_UPSTAIRS" "22" 0.353474702504997
"WALKING_UPSTAIRS" "23" 0.247081505996607
"WALKING_UPSTAIRS" "24" 0.214425034179441
"WALKING_UPSTAIRS" "25" 0.176938959869248
"WALKING_UPSTAIRS" "26" 0.27141050432377
"WALKING_UPSTAIRS" "27" 0.230332207965707
"WALKING_UPSTAIRS" "28" 0.247674578223431
"WALKING_UPSTAIRS" "29" 0.298129009054982
"WALKING_UPSTAIRS" "30" 0.212441461879765
